Session,Hand,Bankroll
1,1,1020.00
1,2,1035.00
1,3,1045.00
1,4,1025.00
1,5,1035.00
1,6,1025.00
1,7,1035.00
1,8,1055.00
1,9,1045.00
1,10,1045.00
1,11,1055.00
1,12,1045.00
1,13,1035.00
1,14,1045.00
1,15,1055.00
1,16,1045.00
1,17,1060.00
1,18,1050.00
1,19,1045.00
1,20,1040.00
1,21,1050.00
1,22,1040.00
1,23,1040.00
1,24,1050.00
1,25,1040.00
1,26,1050.00
1,27,1040.00
1,28,1030.00
1,29,1020.00
1,30,1010.00
1,31,1020.00
1,32,1020.00
1,33,1010.00
1,34,1010.00
1,35,1010.00
1,36,1000.00
1,37,1010.00
1,38,1000.00
1,39,1015.00
1,40,1005.00
1,41,1015.00
1,42,1025.00
1,43,1015.00
1,44,1025.00
1,45,1025.00
1,46,1015.00
1,47,1025.00
1,48,1035.00
1,49,1045.00
1,50,1035.00
1,51,1015.00
1,52,1010.00
1,53,1030.00
1,54,1020.00
1,55,1030.00
1,56,1040.00
1,57,1060.00
1,58,1050.00
1,59,1060.00
1,60,1055.00
1,61,1065.00
1,62,1065.00
1,63,1085.00
1,64,1095.00
1,65,1085.00
1,66,1105.00
1,67,1095.00
1,68,1075.00
1,69,1085.00
1,70,1095.00
1,71,1105.00
1,72,1095.00
1,73,1110.00
1,74,1100.00
1,75,1110.00
1,76,1100.00
1,77,1090.00
1,78,1080.00
1,79,1100.00
1,80,1090.00
1,81,1100.00
1,82,1110.00
1,83,1120.00
1,84,1110.00
1,85,1120.00
1,86,1130.00
1,87,1140.00
1,88,1150.00
1,89,1160.00
1,90,1150.00
1,91,1140.00
1,92,1130.00
1,93,1120.00
1,94,1100.00
1,95,1110.00
1,96,1100.00
1,97,1080.00
1,98,1090.00
1,99,1100.00
1,100,1090.00
2,1,1010.00
2,2,1000.00
2,3,1015.00
2,4,1005.00
2,5,1015.00
2,6,1025.00
2,7,1035.00
2,8,1045.00
2,9,1035.00
2,10,1055.00
2,11,1045.00
2,12,1035.00
2,13,1025.00
2,14,1015.00
2,15,1035.00
2,16,1045.00
2,17,1035.00
2,18,1015.00
2,19,1005.00
2,20,1015.00
2,21,1030.00
2,22,1000.00
2,23,1010.00
2,24,1000.00
2,25,1010.00
2,26,1000.00
2,27,995.00
2,28,1005.00
2,29,1015.00
2,30,1015.00
2,31,1005.00
2,32,1015.00
2,33,1005.00
2,34,1000.00
2,35,1010.00
2,36,1000.00
2,37,990.00
2,38,980.00
2,39,990.00
2,40,1000.00
2,41,1000.00
2,42,980.00
2,43,1000.00
2,44,1010.00
2,45,1000.00
2,46,990.00
2,47,970.00
2,48,980.00
2,49,970.00
2,50,970.00
2,51,960.00
2,52,950.00
2,53,960.00
2,54,975.00
2,55,995.00
2,56,1005.00
2,57,1015.00
2,58,1035.00
2,59,1045.00
2,60,1045.00
2,61,1065.00
2,62,1055.00
2,63,1045.00
2,64,1055.00
2,65,1065.00
2,66,1060.00
2,67,1050.00
2,68,1050.00
2,69,1050.00
2,70,1045.00
2,71,1035.00
2,72,1030.00
2,73,1040.00
2,74,1030.00
2,75,1020.00
2,76,1010.00
2,77,1010.00
2,78,1030.00
2,79,1010.00
2,80,1020.00
2,81,1010.00
2,82,1010.00
2,83,1000.00
2,84,1010.00
2,85,1005.00
2,86,1025.00
2,87,1015.00
2,88,1025.00
2,89,1015.00
2,90,1005.00
2,91,995.00
2,92,985.00
2,93,995.00
2,94,985.00
2,95,1005.00
