Session,Hand,Bankroll
1,1,990.00
1,2,980.00
1,3,980.00
1,4,970.00
1,5,980.00
1,6,1000.00
1,7,1010.00
1,8,1005.00
1,9,1015.00
1,10,1025.00
1,11,1020.00
1,12,1030.00
1,13,1020.00
1,14,1030.00
1,15,1020.00
1,16,1010.00
1,17,1025.00
1,18,1005.00
1,19,995.00
1,20,985.00
1,21,995.00
1,22,1005.00
1,23,1015.00
1,24,1035.00
1,25,1045.00
1,26,1055.00
1,27,1065.00
1,28,1080.00
1,29,1070.00
1,30,1050.00
1,31,1040.00
1,32,1055.00
1,33,1065.00
1,34,1055.00
1,35,1065.00
1,36,1075.00
1,37,1085.00
1,38,1105.00
1,39,1095.00
1,40,1085.00
1,41,1075.00
1,42,1090.00
1,43,1100.00
1,44,1115.00
1,45,1125.00
1,46,1115.00
1,47,1095.00
1,48,1085.00
1,49,1075.00
1,50,1085.00
1,51,1095.00
1,52,1105.00
1,53,1095.00
1,54,1095.00
1,55,1110.00
1,56,1100.00
1,57,1090.00
1,58,1080.00
1,59,1075.00
1,60,1095.00
1,61,1115.00
1,62,1095.00
1,63,1105.00
1,64,1095.00
1,65,1085.00
1,66,1075.00
1,67,1085.00
1,68,1075.00
1,69,1090.00
1,70,1100.00
1,71,1110.00
1,72,1120.00
1,73,1110.00
1,74,1100.00
1,75,1110.00
1,76,1100.00
1,77,1100.00
1,78,1090.00
1,79,1090.00
1,80,1100.00
1,81,1090.00
1,82,1080.00
1,83,1070.00
1,84,1060.00
1,85,1070.00
1,86,1080.00
1,87,1090.00
1,88,1080.00
1,89,1070.00
1,90,1060.00
1,91,1070.00
1,92,1060.00
1,93,1070.00
1,94,1060.00
1,95,1050.00
1,96,1060.00
1,97,1050.00
1,98,1040.00
1,99,1030.00
1,100,1020.00
2,1,1020.00
2,2,1030.00
2,3,1040.00
2,4,1050.00
2,5,1060.00
2,6,1070.00
2,7,1050.00
2,8,1040.00
2,9,1050.00
2,10,1040.00
2,11,1020.00
2,12,1040.00
2,13,1030.00
2,14,1020.00
2,15,1040.00
2,16,1050.00
2,17,1040.00
2,18,1030.00
2,19,1020.00
2,20,1040.00
2,21,1050.00
2,22,1060.00
2,23,1050.00
2,24,1040.00
2,25,1030.00
2,26,1020.00
2,27,1010.00
2,28,1000.00
2,29,990.00
2,30,1000.00
2,31,1010.00
2,32,1020.00
2,33,1000.00
2,34,990.00
2,35,1000.00
2,36,1015.00
2,37,1025.00
2,38,1015.00
2,39,1025.00
2,40,1015.00
2,41,1015.00
2,42,1025.00
2,43,1015.00
2,44,1005.00
2,45,1015.00
2,46,1025.00
2,47,1005.00
2,48,995.00
2,49,1005.00
2,50,995.00
2,51,985.00
2,52,975.00
2,53,965.00
2,54,955.00
2,55,945.00
2,56,925.00
2,57,920.00
2,58,910.00
2,59,920.00
2,60,935.00
2,61,935.00
2,62,945.00
2,63,955.00
2,64,975.00
2,65,965.00
2,66,955.00
2,67,975.00
2,68,965.00
2,69,945.00
2,70,955.00
2,71,965.00
2,72,975.00
2,73,970.00
2,74,970.00
2,75,980.00
2,76,970.00
2,77,960.00
2,78,950.00
2,79,950.00
2,80,940.00
2,81,920.00
2,82,920.00
2,83,920.00
2,84,940.00
2,85,955.00
2,86,935.00
2,87,925.00
2,88,915.00
2,89,905.00
2,90,895.00
2,91,885.00
2,92,885.00
2,93,865.00
2,94,875.00
2,95,865.00
2,96,865.00
2,97,875.00
2,98,885.00
2,99,895.00
2,100,905.00
3,1,1010.00
3,2,1025.00
3,3,1015.00
3,4,1025.00
3,5,1035.00
3,6,1035.00
3,7,1045.00
3,8,1045.00
3,9,1035.00
3,10,1025.00
3,11,1035.00
3,12,1055.00
3,13,1045.00
3,14,1055.00
3,15,1045.00
3,16,1035.00
3,17,1045.00
3,18,1060.00
3,19,1050.00
3,20,1050.00
3,21,1065.00
3,22,1055.00
3,23,1035.00
3,24,1025.00
3,25,1035.00
3,26,1025.00
3,27,1035.00
3,28,1025.00
3,29,1005.00
3,30,1005.00
3,31,995.00
