Session,Hand,Bankroll,Change
1,1,990.00,-10.00
1,2,980.00,-10.00
1,3,990.00,+10.00
1,4,980.00,-10.00
1,5,970.00,-10.00
1,6,960.00,-10.00
1,7,950.00,-10.00
1,8,940.00,-10.00
1,9,950.00,+10.00
1,10,930.00,-20.00
1,11,925.00,-5.00
1,12,940.00,+15.00
1,13,950.00,+10.00
1,14,960.00,+10.00
1,15,970.00,+10.00
1,16,970.00,+0.00
1,17,940.00,-30.00
1,18,950.00,+10.00
1,19,950.00,+0.00
1,20,965.00,+15.00
1,21,965.00,+0.00
1,22,955.00,-10.00
1,23,975.00,+20.00
1,24,975.00,+0.00
1,25,975.00,+0.00
1,26,955.00,-20.00
1,27,945.00,-10.00
1,28,955.00,+10.00
1,29,945.00,-10.00
1,30,955.00,+10.00
1,31,945.00,-10.00
1,32,935.00,-10.00
1,33,925.00,-10.00
1,34,905.00,-20.00
1,35,895.00,-10.00
1,36,885.00,-10.00
1,37,855.00,-30.00
1,38,865.00,+10.00
1,39,865.00,+0.00
1,40,875.00,+10.00
1,41,865.00,-10.00
1,42,875.00,+10.00
1,43,885.00,+10.00
1,44,875.00,-10.00
1,45,865.00,-10.00
1,46,875.00,+10.00
1,47,865.00,-10.00
1,48,855.00,-10.00
1,49,865.00,+10.00
1,50,875.00,+10.00
1,51,870.00,-5.00
1,52,860.00,-10.00
1,53,880.00,+20.00
1,54,870.00,-10.00
1,55,880.00,+10.00
1,56,900.00,+20.00
1,57,910.00,+10.00
1,58,890.00,-20.00
1,59,910.00,+20.00
1,60,920.00,+10.00
1,61,910.00,-10.00
1,62,920.00,+10.00
1,63,910.00,-10.00
1,64,900.00,-10.00
1,65,890.00,-10.00
1,66,905.00,+15.00
1,67,925.00,+20.00
1,68,935.00,+10.00
1,69,925.00,-10.00
1,70,940.00,+15.00
1,71,950.00,+10.00
1,72,960.00,+10.00
1,73,970.00,+10.00
1,74,960.00,-10.00
1,75,970.00,+10.00
1,76,960.00,-10.00
1,77,975.00,+15.00
1,78,985.00,+10.00
1,79,995.00,+10.00
1,80,995.00,+0.00
1,81,985.00,-10.00
1,82,975.00,-10.00
1,83,990.00,+15.00
1,84,1005.00,+15.00
1,85,995.00,-10.00
1,86,1005.00,+10.00
1,87,985.00,-20.00
1,88,995.00,+10.00
1,89,1005.00,+10.00
1,90,995.00,-10.00
1,91,985.00,-10.00
1,92,975.00,-10.00
1,93,995.00,+20.00
1,94,1005.00,+10.00
1,95,1015.00,+10.00
1,96,1015.00,+0.00
1,97,1025.00,+10.00
1,98,1035.00,+10.00
1,99,1030.00,-5.00
1,100,1040.00,+10.00
2,1,1010.00,+10.00
2,2,1020.00,+10.00
2,3,1035.00,+15.00
2,4,1045.00,+10.00
2,5,1035.00,-10.00
2,6,1025.00,-10.00
2,7,1045.00,+20.00
2,8,1040.00,-5.00
2,9,1030.00,-10.00
2,10,1040.00,+10.00
2,11,1020.00,-20.00
2,12,1020.00,+0.00
2,13,1010.00,-10.00
2,14,1030.00,+20.00
2,15,1020.00,-10.00
2,16,1020.00,+0.00
2,17,1020.00,+0.00
2,18,1015.00,-5.00
2,19,1005.00,-10.00
2,20,995.00,-10.00
2,21,995.00,+0.00
2,22,985.00,-10.00
2,23,975.00,-10.00
2,24,965.00,-10.00
2,25,955.00,-10.00
2,26,945.00,-10.00
2,27,955.00,+10.00
2,28,965.00,+10.00
2,29,975.00,+10.00
2,30,975.00,+0.00
2,31,985.00,+10.00
2,32,1000.00,+15.00
2,33,990.00,-10.00
2,34,985.00,-5.00
2,35,995.00,+10.00
2,36,985.00,-10.00
2,37,985.00,+0.00
2,38,975.00,-10.00
2,39,965.00,-10.00
2,40,975.00,+10.00
2,41,965.00,-10.00
2,42,955.00,-10.00
2,43,955.00,+0.00
2,44,945.00,-10.00
2,45,955.00,+10.00
2,46,945.00,-10.00
2,47,955.00,+10.00
2,48,965.00,+10.00
2,49,975.00,+10.00
2,50,965.00,-10.00
2,51,985.00,+20.00
2,52,975.00,-10.00
2,53,985.00,+10.00
2,54,965.00,-20.00
2,55,945.00,-20.00
2,56,935.00,-10.00
2,57,935.00,+0.00
2,58,925.00,-10.00
2,59,925.00,+0.00
2,60,915.00,-10.00
2,61,905.00,-10.00
2,62,895.00,-10.00
2,63,885.00,-10.00
2,64,895.00,+10.00
2,65,885.00,-10.00
2,66,895.00,+10.00
2,67,905.00,+10.00
2,68,925.00,+20.00
2,69,915.00,-10.00
2,70,905.00,-10.00
2,71,915.00,+10.00
2,72,905.00,-10.00
2,73,895.00,-10.00
2,74,885.00,-10.00
2,75,875.00,-10.00
2,76,875.00,+0.00
2,77,865.00,-10.00
2,78,855.00,-10.00
2,79,855.00,+0.00
2,80,870.00,+15.00
2,81,880.00,+10.00
2,82,890.00,+10.00
2,83,880.00,-10.00
2,84,890.00,+10.00
2,85,900.00,+10.00
2,86,910.00,+10.00
2,87,930.00,+20.00
2,88,940.00,+10.00
2,89,950.00,+10.00
2,90,940.00,-10.00
2,91,930.00,-10.00
2,92,920.00,-10.00
2,93,910.00,-10.00
2,94,930.00,+20.00
2,95,940.00,+10.00
2,96,950.00,+10.00
2,97,940.00,-10.00
2,98,950.00,+10.00
2,99,940.00,-10.00
2,100,950.00,+10.00
3,1,1010.00,+10.00
3,2,1000.00,-10.00
3,3,990.00,-10.00
3,4,980.00,-10.00
3,5,990.00,+10.00
3,6,980.00,-10.00
3,7,970.00,-10.00
3,8,970.00,+0.00
3,9,980.00,+10.00
3,10,990.00,+10.00
3,11,980.00,-10.00
3,12,970.00,-10.00
3,13,980.00,+10.00
3,14,970.00,-10.00
3,15,980.00,+10.00
3,16,1000.00,+20.00
3,17,990.00,-10.00
3,18,1000.00,+10.00
3,19,980.00,-20.00
3,20,1000.00,+20.00
3,21,990.00,-10.00
3,22,1000.00,+10.00
3,23,1010.00,+10.00
3,24,1030.00,+20.00
3,25,1020.00,-10.00
3,26,1020.00,+0.00
3,27,1030.00,+10.00
3,28,1020.00,-10.00
3,29,1030.00,+10.00
3,30,1010.00,-20.00
3,31,1020.00,+10.00
3,32,1010.00,-10.00
3,33,1000.00,-10.00
3,34,995.00,-5.00
3,35,1005.00,+10.00
3,36,995.00,-10.00
3,37,1015.00,+20.00
3,38,1005.00,-10.00
3,39,1015.00,+10.00
3,40,1035.00,+20.00
3,41,1055.00,+20.00
3,42,1045.00,-10.00
3,43,1055.00,+10.00
3,44,1050.00,-5.00
3,45,1060.00,+10.00
3,46,1070.00,+10.00
3,47,1090.00,+20.00
3,48,1070.00,-20.00
3,49,1060.00,-10.00
3,50,1075.00,+15.00
3,51,1065.00,-10.00
3,52,1055.00,-10.00
3,53,1045.00,-10.00
3,54,1035.00,-10.00
3,55,1055.00,+20.00
3,56,1045.00,-10.00
3,57,1035.00,-10.00
3,58,1025.00,-10.00
3,59,1015.00,-10.00
3,60,1025.00,+10.00
3,61,1015.00,-10.00
3,62,1015.00,+0.00
3,63,1025.00,+10.00
3,64,1035.00,+10.00
3,65,1035.00,+0.00
3,66,1055.00,+20.00
3,67,1065.00,+10.00
3,68,1055.00,-10.00
3,69,1065.00,+10.00
3,70,1055.00,-10.00
3,71,1065.00,+10.00
3,72,1075.00,+10.00
3,73,1085.00,+10.00
3,74,1075.00,-10.00
3,75,1065.00,-10.00
3,76,1055.00,-10.00
3,77,1055.00,+0.00
3,78,1065.00,+10.00
3,79,1045.00,-20.00
3,80,1035.00,-10.00
3,81,1025.00,-10.00
3,82,1040.00,+15.00
3,83,1030.00,-10.00
3,84,1020.00,-10.00
3,85,1010.00,-10.00
3,86,1020.00,+10.00
3,87,1010.00,-10.00
3,88,1000.00,-10.00
3,89,990.00,-10.00
3,90,1010.00,+20.00
3,91,1005.00,-5.00
3,92,995.00,-10.00
3,93,990.00,-5.00
3,94,1000.00,+10.00
